,0,1,2,3,4,5,6,7
"(6, '6,1')",227.74,1.0,,,,,,
"(6, '9,0')",239.74,3.0,,,,,,
"(6, '9,1')",239.74,1.0,,,,,,
"(6, '15,3')",256.54,1.0,,,,,,
"(6, '7,1')",277.5,,,,,,,
"(6, '3,0')",291.18,1.0,,,,,,
"(6, '15,4')",322.59,,,,,,,
"(7, '1,0')",15.67,2.0,,,,,,
"(7, '15,2')",51.67,,,,,,,
"(7, '12,0')",61.63,1.0,,,,,,
"(7, '9,0')",70.96,1.0,1.0,,,,,
"(7, '10,0')",75.76,1.0,,,,,,
"(7, '14,0')",88.68,2.0,,,,,,
"(7, '15,0')",93.48,,,,,,,
"(7, '15,1')",93.48,1.0,,,,,,
"(7, '14,1')",98.28,1.0,,,,,,
"(7, '12,1')",103.08,2.0,,,,,,
"(7, '5,2')",119.88,1.0,,,,,,
"(7, '4,0')",124.68,,,,,,,
"(7, '1,1')",129.48,1.0,,,,,,
"(7, '1,2')",129.48,1.0,,,,,,
"(7, '2,0')",135.94,1.0,,,,,,
"(7, '2,1')",135.94,1.0,,,,,,
"(7, '5,0')",145.31,1.0,,,,,,
"(7, '5,1')",145.31,1.0,,,,,,
"(7, '12,2')",162.11,1.0,,,,,,
"(7, '12,3')",162.11,1.0,,,,,,
"(7, '15,3')",171.71,,,,,,,
"(7, '7,0')",192.67,2.0,,,,,,
"(7, '7,1')",192.67,1.0,,,,,,
"(7, '11,0')",208.32,1.0,,,,,,
"(7, '11,1')",208.32,1.0,,,,,,
"(7, '15,4')",222.97,,,,,,,
"(7, '15,5')",222.97,1.0,,,,,,
"(7, '6,0')",250.33,1.0,,,,,,
"(7, '6,1')",250.33,1.0,,,,,,
"(7, '9,1')",262.33,2.0,,,,,,
"(7, '9,2')",262.33,2.0,,,,,,
"(7, '15,6')",279.13,,,,,,,
"(8, '2,2')",16.65,2.0,2.0,1.0,1.0,2.0,,
"(8, '15,2')",50.78,,,,,,,
"(8, '12,0')",60.38,1.0,,,,,,
"(8, '7,2')",77.76,1.0,,,,,,
"(8, '3,2')",91.44,5.0,1.0,1.0,1.0,,,
"(8, '3,3')",97.94,1.0,2.0,1.0,1.0,,,
"(8, '10,0')",112.39,1.0,,,,,,
"(8, '11,0')",118.39,2.0,1.0,,,,,
"(8, '11,1')",118.39,1.0,,,,,,
"(8, '15,0')",133.04,,,,,,,
"(8, '13,0')",141.09,2.0,,,,,,
"(8, '1,0')",170.11,2.0,,,,,,
"(8, '1,1')",170.11,1.0,,,,,,
"(8, '2,0')",176.57,1.0,,,,,,
"(8, '2,1')",176.57,1.0,,,,,,
"(8, '5,0')",185.94,1.0,,,,,,
"(8, '5,1')",185.94,1.0,,,,,,
"(8, '12,1')",202.74,1.0,,,,,,
"(8, '12,2')",202.74,2.0,,,,,,
"(8, '15,1')",212.34,,,,,,,
"(8, '7,0')",233.3,2.0,,,,,,
"(8, '7,1')",233.3,1.0,,,,,,
"(8, '11,2')",248.95,1.0,,,,,,
"(8, '15,3')",263.6,,,,,,,
"(8, '6,0')",290.96,1.0,,,,,,
"(8, '6,1')",290.96,1.0,,,,,,
"(8, '3,0')",302.78,1.0,,,,,,
"(8, '3,1')",302.78,1.0,,,,,,
"(8, '15,4')",334.19,,,,,,,
"(9, '2,2')",23.0,1.0,2.0,1.0,,,,
"(9, '15,2')",57.13,,,,,,,
"(9, '14,0')",62.16,2.0,,,,,,
"(9, '12,0')",67.03,2.0,,,,,,
"(9, '12,1')",67.97,1.0,,,,,,
"(9, '9,2')",77.04,1.0,1.0,,,,,
"(9, '10,0')",81.84,1.0,,,,,,
"(9, '15,0')",99.31,,,,,,,
"(9, '14,1')",104.11,1.0,,,,,,
"(9, '5,0')",125.71,1.0,,,,,,
"(9, '1,0')",135.31,2.0,,,,,,
"(9, '1,1')",135.31,2.0,,,,,,
"(9, '2,0')",141.77,1.0,,,,,,
"(9, '2,1')",141.77,1.0,,,,,,
"(9, '5,1')",151.14,1.0,,,,,,
"(9, '5,2')",151.14,1.0,,,,,,
"(9, '7,0')",158.82,1.0,,,,,,
"(9, '7,1')",158.82,2.0,,,,,,
"(9, '4,0')",170.64,2.0,,,,,,
"(9, '4,1')",170.64,2.0,,,,,,
"(9, '15,1')",201.84,,,,,,,
"(9, '4,2')",233.04,4.0,,,,,,
"(9, '6,0')",241.69,1.0,,,,,,
"(9, '6,1')",241.69,1.0,,,,,,
"(9, '9,0')",253.69,1.0,,,,,,
"(9, '9,1')",253.69,1.0,,,,,,
"(9, '7,2')",259.69,1.0,,,,,,
"(9, '15,3')",280.65,,,,,,,
"(10, '2,0')",6.46,1.0,2.0,3.0,,,,
"(10, '15,3')",40.59,,,,,,,
"(10, '7,0')",62.96,2.0,2.0,,,,,
"(10, '7,1')",68.53,1.0,2.0,,,,,
"(10, '5,1')",76.21,1.0,,,,,,
"(10, '5,2')",76.21,1.0,,,,,,
"(10, '1,0')",85.81,2.0,1.0,1.0,3.0,1.0,2.0,1.0
"(10, '15,2')",121.81,,,,,,,
"(10, '10,0')",139.28,1.0,,,,,,
"(10, '15,0')",156.75,,,,,,,
"(10, '15,1')",156.75,1.0,1.0,,,,,
"(10, '3,0')",188.16,,,,,,,
"(10, '5,0')",194.16,,,,,,,
"(10, '4,0')",198.96,1.0,,,,,,
"(10, '4,1')",198.96,2.0,,,,,,
"(10, '6,0')",207.61,1.0,,,,,,
"(10, '6,1')",207.61,1.0,,,,,,
"(10, '15,4')",234.97,,,,,,,
"(10, '6,2')",262.33,2.0,,,,,,
"(10, '6,3')",262.33,1.0,,,,,,
"(10, '3,1')",274.15,1.0,,,,,,
"(10, '3,2')",274.15,2.0,,,,,,
"(10, '15,5')",305.56,,,,,,,
"(11, '8,2')",34.69,1.0,1.0,1.0,2.0,,,
"(11, '15,2')",53.89,,,,,,,
"(11, '14,0')",59.92,2.0,,,,,,
"(11, '12,0')",65.14,1.0,,,,,,
"(11, '11,0')",76.5,3.0,1.0,,,,,
"(11, '11,1')",78.21,1.0,,,,,,
"(11, '10,0')",84.21,2.0,,,,,,
"(11, '15,0')",101.68,,,,,,,
"(11, '12,1')",111.28,1.0,,,,,,
"(11, '8,0')",120.88,3.0,,,,,,
"(11, '8,1')",120.88,2.0,,,,,,
"(11, '2,0')",136.48,2.0,,,,,,
"(11, '2,1')",136.48,1.0,,,,,,
"(11, '5,0')",145.85,1.0,,,,,,
"(11, '5,1')",145.85,1.0,,,,,,
"(11, '7,0')",153.53,1.0,,,,,,
"(11, '7,1')",153.53,1.0,,,,,,
"(11, '15,1')",174.49,,,,,,,
"(11, '15,3')",174.49,1.0,,,,,,
"(11, '3,0')",205.9,,,,,,,
"(11, '4,0')",209.5,1.0,,,,,,
"(11, '4,1')",209.5,1.0,,,,,,
"(11, '6,0')",218.15,2.0,,,,,,
"(11, '6,1')",218.15,1.0,,,,,,
"(11, '9,0')",230.15,1.0,,,,,,
"(11, '9,1')",230.15,1.0,,,,,,
"(11, '15,4')",246.95,,,,,,,
"(11, '9,3')",263.75,1.0,,,,,,
"(11, '15,5')",280.55,,,,,,,
"(12, '8,1')",16.8,1.0,1.0,,,,,
"(12, '15,3')",36.0,,,,,,,
"(12, '14,1')",40.8,3.0,1.0,,,,,
"(12, '12,2')",45.6,3.0,,,,,,
"(12, '12,3')",45.6,1.0,1.0,,,,,
"(12, '9,3')",54.05,2.0,,,,,,
"(12, '8,0')",56.45,1.0,1.0,1.0,2.0,1.0,,
"(12, '14,0')",70.85,1.0,,,,,,
"(12, '15,2')",75.65,,,,,,,
"(12, '12,0')",85.41,2.0,1.0,,,,,
"(12, '12,1')",88.32,1.0,,,,,,
"(12, '10,0')",96.97,2.0,,,,,,
"(12, '11,0')",102.97,1.0,,,,,,
"(12, '11,1')",103.46,1.0,,,,,,
"(12, '15,0')",118.11,1.0,,,,,,
"(12, '9,0')",134.91,,,,,,,
"(12, '2,0')",152.75,1.0,,,,,,
"(12, '2,1')",152.75,1.0,,,,,,
"(12, '5,0')",162.12,1.0,,,,,,
"(12, '5,1')",162.12,1.0,,,,,,
"(12, '7,0')",169.8,1.0,,,,,,
"(12, '7,1')",169.8,1.0,,,,,,
"(12, '15,1')",190.76,,,,,,,
"(12, '4,0')",221.96,3.0,,,,,,
"(12, '4,1')",221.96,1.0,,,,,,
"(12, '6,0')",230.61,1.0,,,,,,
