,0,1,2,3,4,5
"(13, '15,1')",37.26,1.0,,,,
"(13, '13,0')",45.31,,,,,
"(13, '8,0')",57.84,4.0,,,,
"(13, '5,0')",69.77,2.0,,,,
"(13, '1,0')",79.37,4.0,3.0,,,
"(13, '1,1')",79.37,3.0,,,,
"(13, '2,0')",85.83,2.0,,,,
"(13, '2,1')",95.03,2.0,,,,
"(13, '15,2')",129.16,,,,,
"(13, '7,0')",150.12,2.0,,,,
"(13, '15,3')",171.08,1.0,1.0,,,
"(13, '7,1')",192.04,,,,,
"(13, '6,0')",198.5,,,,,
"(13, '3,0')",210.32,3.0,,,,
"(13, '3,1')",210.32,3.0,,,,
"(13, '15,4')",241.73,,,,,
"(14, '4,1')",24.5,3.0,4.0,,,
"(14, '15,3')",55.7,,,,,
"(14, '11,0')",70.35,4.0,,,,
"(14, '9,0')",81.38,1.0,,,,
"(14, '4,0')",95.78,2.0,3.0,2.0,4.0,4.0
"(14, '15,2')",126.98,,,,,
"(14, '10,0')",144.45,4.0,,,,
"(14, '15,0')",161.92,,,,,
"(14, '7,0')",182.88,2.0,,,,
"(14, '6,0')",189.34,1.0,,,,
"(14, '6,1')",189.34,2.0,,,,
"(14, '15,1')",216.7,,,,,
"(15, '10,0')",19.79,2.0,,,,
"(15, '15,0')",37.26,,,,,
"(15, '15,1')",37.26,1.0,,,,
"(15, '12,0')",47.72,2.0,,,,
"(15, '8,0')",57.32,3.0,,,,
"(15, '7,0')",62.27,2.0,,,,
"(15, '5,0')",69.95,,,,,
"(15, '5,1')",69.95,1.0,,,,
"(15, '4,0')",77.62,1.0,,,,
"(15, '1,0')",82.42,4.0,,,,
"(15, '1,1')",82.42,1.0,,,,
"(15, '8,1')",99.22,2.0,,,,
"(15, '12,1')",108.82,4.0,,,,
"(15, '15,2')",118.42,1.0,,,,
"(15, '9,0')",135.22,,,,,
"(15, '1,2')",154.42,3.0,,,,
"(15, '6,0')",166.42,2.0,,,,
"(15, '6,1')",166.42,1.0,,,,
"(15, '9,1')",178.42,3.0,,,,
"(15, '9,2')",178.42,2.0,,,,
"(15, '15,3')",195.22,,,,,
"(15, '3,0')",226.63,3.0,,,,
"(15, '15,4')",258.04,,,,,
"(16, '13,0')",29.02,4.0,,,,
"(16, '15,2')",37.07,,,,,
"(16, '7,0')",58.03,5.0,,,,
"(16, '5,2')",65.71,3.0,,,,
"(16, '1,0')",75.31,3.0,,,,
"(16, '5,1')",84.91,6.0,,,,
"(16, '5,3')",84.91,3.0,,,,
"(16, '15,0')",111.31,1.0,,,,
"(16, '14,0')",116.11,1.0,,,,
"(16, '5,0')",137.71,,,,,
"(16, '1,1')",147.31,2.0,,,,
"(16, '6,0')",159.31,2.0,,,,
"(16, '6,1')",159.31,4.0,,,,
"(16, '9,0')",171.31,3.0,,,,
"(16, '9,1')",171.31,2.0,,,,
"(16, '15,1')",188.11,,,,,
"(16, '3,0')",219.52,2.0,,,,
"(16, '15,3')",250.93,,,,,
